"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4359","testing","chromium","2026-04-09","passed","2026-04-09","","login.spec.js","",""
"","6840","testing","webkit","2026-04-09","passed","2026-04-09","","login.spec.js","",""
"","6616","testing","firefox","2026-04-09","passed","2026-04-09","","login.spec.js","",""
